eNodeB ID,eNodebName,小区号,长码(小区CI）,CellName,网络类型,longitude,LATITUDE,覆盖类型
1035603,安康旬阳桂花靛纸沟-HLH-AKCO992TL,AKCO992TL-1,265114369,安康旬阳桂花靛纸沟-HLH-AKCO992TL-1,lte,109.301388,32.687777,宏站
1035603,安康旬阳桂花靛纸沟-HLH-AKCO992TL,AKCO992TL-2,265114370,安康旬阳桂花靛纸沟-HLH-AKCO992TL-2,lte,109.301388,32.687777,宏站
1035379,安康旬阳桂花岩屋沟-HLH-AKCO768TL,AKCO768TL-0,265057024,安康旬阳桂花岩屋沟-HLH-AKCO768TL-0,lte,109.341388,32.670833,宏站
1035379,安康旬阳桂花岩屋沟-HLH-AKCO768TL,AKCO768TL-1,265057025,安康旬阳桂花岩屋沟-HLH-AKCO768TL-1,lte,109.341388,32.670833,宏站
1035379,安康旬阳桂花岩屋沟-HLH-AKCO768TL,AKCO768TL-2,265057026,安康旬阳桂花岩屋沟-HLH-AKCO768TL-2,lte,109.341388,32.670833,宏站
1035437,安康旬阳锅厂-HLH-AKCO826TL,AKCO826TL-0,265071872,安康旬阳锅厂-HLH-AKCO826TL-0,lte,109.423333,33.018055,宏站
1035437,安康旬阳锅厂-HLH-AKCO826TL,AKCO826TL-1,265071873,安康旬阳锅厂-HLH-AKCO826TL-1,lte,109.423333,33.018055,宏站
1035437,安康旬阳锅厂-HLH-AKCO826TL,AKCO826TL-2,265071874,安康旬阳锅厂-HLH-AKCO826TL-2,lte,109.423333,33.018055,宏站
1035284,安康旬阳海棠寺村-HLH-AKCO673TL,AKCO673TL-0,265032704,安康旬阳海棠寺村-HLH-AKCO673TL-0,lte,109.146111,32.916666,宏站
1035284,安康旬阳海棠寺村-HLH-AKCO673TL,AKCO673TL-1,265032705,安康旬阳海棠寺村-HLH-AKCO673TL-1,lte,109.146111,32.916666,宏站
1035284,安康旬阳海棠寺村-HLH-AKCO673TL,AKCO673TL-2,265032706,安康旬阳海棠寺村-HLH-AKCO673TL-2,lte,109.146111,32.916666,宏站
1035169,安康旬阳何家-HLH-AKCO558TL,AKCO558TL-0,265003264,安康旬阳何家-HLH-AKCO558TL-0,lte,109.650555,32.958888,宏站
1035169,安康旬阳何家-HLH-AKCO558TL,AKCO558TL-1,265003265,安康旬阳何家-HLH-AKCO558TL-1,lte,109.650555,32.958888,宏站
1035169,安康旬阳何家-HLH-AKCO558TL,AKCO558TL-2,265003266,安康旬阳何家-HLH-AKCO558TL-2,lte,109.650555,32.958888,宏站
1035195,安康旬阳红军乡红军纪念馆-HLH-AKCO584TL,AKCO584TL-0,265009920,安康旬阳红军乡红军纪念馆-HLH-AKCO584TL-0,lte,109.548333,33.105,宏站
1035195,安康旬阳红军乡红军纪念馆-HLH-AKCO584TL,AKCO584TL-1,265009921,安康旬阳红军乡红军纪念馆-HLH-AKCO584TL-1,lte,109.548333,33.105,宏站
